Survived,Pclass,Sex_male,Embarked_Q,Embarked_S,Fare_Bin,Age_Bin,Family_Group
0,1,True,False,True,1,2,0
0,1,True,False,True,2,2,1
0,3,True,False,True,1,1,1
0,1,True,False,True,2,2,1
1,1,False,False,False,2,2,0
1,3,True,False,True,0,2,0
0,1,True,False,True,1,2,0
1,2,True,False,True,1,0,1
1,1,False,False,True,2,2,2
0,2,True,False,True,1,2,0
0,2,True,False,True,1,2,0
0,2,True,False,True,1,2,0
1,2,False,False,True,1,2,0
1,2,False,False,True,1,2,0
1,3,True,False,True,1,0,1
0,3,True,False,True,0,2,0
0,3,True,False,True,0,2,0
0,3,True,False,False,0,1,1
0,3,True,False,True,1,2,1
0,3,True,False,True,0,2,0
1,1,False,False,True,2,2,1
0,2,False,False,True,1,2,0
0,3,True,False,True,1,2,2
0,2,True,False,False,1,2,1
0,3,False,False,False,1,2,1
0,3,True,False,True,0,2,0
0,3,True,False,True,0,2,0
1,1,False,False,False,2,3,1
1,1,False,False,False,2,2,0
1,1,True,False,False,2,2,1
0,3,True,False,True,0,1,1
0,3,True,False,True,0,1,0
0,1,True,False,False,2,2,0
0,3,False,False,True,1,0,2
1,3,False,False,True,0,2,0
0,1,True,False,False,2,2,1
0,3,True,False,False,0,2,0
0,3,True,False,True,0,1,0
1,1,False,False,False,2,2,0
1,3,False,False,False,1,0,1
0,3,True,False,True,0,2,0
1,1,False,False,True,2,2,1
0,2,True,False,True,2,1,0
0,3,True,False,True,1,0,3
1,2,False,False,True,1,2,0
1,2,False,False,False,1,1,0
1,1,True,False,True,2,2,1
1,3,True,False,True,0,2,0
0,3,True,False,True,0,2,1
1,1,False,False,False,2,2,1
1,3,False,False,True,1,2,1
0,3,True,False,True,0,2,0
0,3,False,False,True,0,2,0
0,2,True,False,True,1,2,0
0,2,True,False,True,1,2,0
1,2,False,False,True,1,2,0
1,3,True,False,True,0,2,0
0,3,True,False,True,0,2,0
0,3,False,False,True,0,2,1
0,3,True,False,True,1,2,1
0,3,False,False,True,0,2,0
0,2,True,False,True,1,2,1
0,3,True,False,True,0,2,0
1,2,True,False,True,1,0,1
0,3,True,False,True,0,2,0
1,1,False,True,False,2,2,1
1,3,True,False,True,0,2,0
1,2,False,False,True,1,2,1
1,2,False,False,True,1,1,1
0,2,True,False,True,1,2,0
0,3,False,False,True,1,0,1
0,3,True,True,False,0,2,0
0,3,True,False,True,0,2,0
0,3,False,False,True,1,2,1
0,3,True,False,True,1,1,1
1,2,False,False,True,1,2,1
1,2,False,False,True,1,1,0
1,3,True,False,True,0,2,0
1,1,True,False,True,1,2,0
1,2,False,False,True,1,2,1
0,3,True,False,True,0,1,0
0,1,True,False,True,2,2,1
1,1,False,False,True,2,1,1
0,3,False,False,True,1,2,2
1,2,False,False,True,1,2,2
0,1,True,False,True,2,3,2
0,2,True,False,True,1,2,0
1,2,False,False,True,1,2,1
0,3,True,False,True,0,2,0
0,3,True,False,True,0,2,1
1,2,False,False,True,1,2,0
1,1,True,False,True,2,0,1
1,2,False,False,True,1,1,1
1,1,True,False,True,1,2,0
1,3,False,False,False,1,0,1
1,1,True,False,True,1,2,0
0,2,True,False,True,1,2,1
0,1,True,False,False,1,2,0
1,1,True,False,False,2,2,1
1,3,True,False,False,0,2,0
0,1,True,False,True,1,3,0
1,2,False,False,True,1,2,0
1,1,True,False,True,1,2,0
0,3,True,False,True,0,2,0
0,1,True,False,True,1,2,0
0,2,True,False,True,1,2,0
0,3,True,False,True,0,2,0
0,1,True,False,True,1,2,0
1,3,False,False,False,1,0,1
0,3,True,False,True,0,2,0
1,2,False,False,True,1,2,1
1,2,False,False,False,1,2,0
0,3,False,False,True,0,2,0
0,2,True,False,True,1,2,1
0,3,True,False,True,0,2,1
0,3,True,False,True,0,2,0
1,3,False,False,True,1,0,1
0,3,True,False,True,1,0,3
0,3,True,False,True,0,2,0
1,3,False,False,True,0,3,0
1,1,True,False,False,2,2,1
1,1,False,False,True,2,2,1
0,1,True,False,False,1,2,0
0,3,True,False,True,0,2,0
1,3,True,False,True,1,0,1
0,3,True,False,True,0,2,0
0,1,True,False,True,1,2,0
0,1,True,False,False,1,3,0
0,3,True,False,True,0,2,0
1,1,False,False,False,2,2,1
0,1,False,False,True,2,2,1
0,3,True,False,True,0,2,0
0,3,True,False,True,0,1,0
0,3,False,True,False,0,2,0
0,3,False,False,True,0,2,0
1,1,False,False,True,2,1,0
0,1,True,False,False,2,1,1
1,2,False,False,True,1,2,1
0,3,True,False,True,1,2,0
1,3,True,False,True,2,2,0
1,3,True,True,False,0,2,0
1,1,True,False,True,1,2,0
1,1,False,False,False,2,2,1
0,3,True,False,True,0,2,0
0,1,True,False,True,1,2,0
1,2,False,False,True,1,2,0
1,2,False,False,True,1,2,1
0,3,True,False,True,0,2,0
1,1,False,False,True,2,2,0
0,3,True,False,True,0,2,0
1,1,False,False,False,2,2,1
0,3,True,True,False,0,2,0
1,2,False,False,True,1,2,0
0,3,True,False,True,0,2,0
0,2,True,False,True,1,2,1
1,2,False,False,True,1,0,1
0,3,True,False,False,0,1,1
0,3,False,False,True,0,2,0
1,2,False,False,True,1,0,1
0,1,True,False,True,1,2,0
1,1,False,False,False,2,2,0
1,1,False,False,False,1,2,1
1,1,False,False,True,2,2,1
0,3,False,False,True,1,0,2
0,3,False,False,True,1,0,2
1,2,True,False,True,1,2,1
0,1,True,False,False,2,2,1
0,1,True,False,True,1,3,0
1,2,False,False,True,1,1,1
0,3,True,False,True,1,2,1
1,2,True,False,True,1,0,1
1,1,True,False,False,2,1,1
0,2,True,False,True,1,2,0
1,3,True,False,False,0,2,0
1,3,False,False,True,0,2,0
0,1,True,False,True,1,3,0
1,1,False,False,False,1,2,1
1,1,False,False,True,2,2,1
1,3,False,False,True,1,2,1
0,3,True,False,True,0,2,0
0,2,True,False,True,1,2,0
0,3,True,False,True,1,2,1
0,3,True,False,True,0,1,0
0,3,False,False,True,1,2,2
1,3,True,False,True,0,2,0
1,2,True,False,True,1,3,0
1,1,False,False,True,2,2,1
1,1,True,False,True,1,2,0
0,3,True,False,True,0,1,0
0,3,True,False,True,1,1,0
1,2,False,False,True,1,2,0
1,1,False,False,True,2,2,1
1,3,True,False,True,0,2,0
1,2,False,False,True,1,2,1
1,1,False,False,False,2,2,1
0,2,True,False,True,1,2,0
0,1,True,False,False,1,2,0
1,1,False,False,True,2,1,1
0,2,True,False,True,1,2,0
1,1,True,False,False,2,3,1
0,3,True,False,True,0,2,0
0,3,True,False,True,0,2,0
1,1,False,False,False,2,2,1
0,3,True,False,True,0,2,0
0,2,True,False,True,1,2,1
0,3,True,False,True,1,2,1
0,3,True,False,True,0,2,0
1,1,True,False,False,2,2,1
1,2,False,False,True,1,2,1
0,3,True,False,True,0,2,0
1,1,True,False,False,1,2,0
0,3,True,False,True,1,2,1
0,3,True,False,True,0,2,0
1,1,True,False,True,1,2,0
1,2,False,False,False,1,2,1
1,1,False,False,True,2,2,0
0,3,False,False,True,1,2,2
0,3,True,False,True,0,2,0
1,2,False,False,True,2,2,1
0,3,True,False,True,1,2,1
0,3,False,False,True,1,2,1
1,2,False,False,True,1,0,1
0,2,True,False,True,1,2,0
0,3,True,False,False,1,2,1
1,1,True,False,True,2,2,1
1,3,True,False,False,1,2,1
0,3,True,False,True,0,2,0
0,3,True,False,True,1,2,0
0,1,True,False,True,1,3,0
0,2,True,True,False,1,2,0
1,1,False,False,True,2,2,0
0,3,True,False,True,0,2,0
1,1,True,False,True,1,3,0
0,3,True,False,True,0,2,0
1,1,True,False,False,1,2,0
0,3,False,False,True,1,0,2
1,2,False,False,True,1,2,0
0,3,True,False,True,0,2,0
0,2,True,False,True,1,2,1
0,3,False,False,True,1,2,2
0,3,True,False,True,0,2,0
1,1,False,False,False,2,2,0
0,3,False,False,True,1,0,2
1,3,False,False,False,1,0,1
1,1,True,False,False,2,2,1
0,3,True,False,True,0,1,0
1,1,True,False,False,1,2,0
1,3,False,False,True,0,2,0
1,2,False,False,True,1,1,1
0,3,True,False,True,0,2,0
0,3,False,True,False,0,1,0
0,2,True,False,True,2,2,1
0,3,False,True,False,1,2,1
0,2,True,False,True,1,2,0
0,1,True,False,False,2,2,1
1,1,True,False,True,2,2,1
0,3,True,False,False,0,2,0
0,1,True,False,True,1,2,0
0,3,True,False,True,0,2,0
1,3,True,False,True,0,2,1
0,2,True,False,True,2,2,1
0,2,True,False,True,1,2,0
0,3,True,False,True,0,2,0
1,2,False,False,True,1,2,1
0,1,True,False,True,2,2,1
0,2,True,False,True,1,3,0
1,2,True,False,True,1,2,0
0,3,True,False,True,0,1,0
0,3,True,False,True,0,2,0
1,3,False,False,True,0,1,0
0,3,False,False,True,1,2,3
1,1,True,False,False,2,2,1
1,1,True,False,False,2,2,0
0,3,True,False,True,0,2,0
0,3,True,False,True,1,1,3
0,2,True,False,True,1,3,1
0,2,True,False,False,1,2,1
0,3,True,False,True,1,1,2
0,3,True,False,True,1,1,0
0,3,True,False,True,0,1,0
1,1,False,False,True,2,1,1
1,1,True,False,True,2,2,1
1,3,False,False,False,1,0,1
0,3,True,False,False,0,2,0
0,1,True,False,True,1,3,0
0,2,True,False,True,1,2,0
0,3,True,False,True,0,2,0
0,1,True,False,False,2,2,1
0,3,True,False,True,0,2,0
1,1,False,False,False,2,1,1
1,1,True,False,True,1,2,0
0,3,False,False,False,1,1,1
0,3,True,True,False,0,2,0
0,3,True,False,True,0,2,1
0,2,True,False,True,1,2,0
1,2,False,False,True,1,2,0
1,1,True,False,True,1,2,0
1,1,False,False,True,2,2,0
1,1,False,False,False,1,2,0
1,1,True,False,True,2,2,1
0,3,True,False,True,0,2,0
0,2,True,False,True,1,2,0
0,3,True,False,True,0,1,0
1,1,False,False,False,2,2,0
1,2,False,False,True,1,2,0
0,3,True,False,True,0,2,0
1,2,False,False,True,1,0,1
0,3,True,False,True,0,1,1
0,2,True,False,True,1,2,0
0,2,True,False,True,1,2,0
1,1,True,False,True,2,2,1
0,3,True,False,True,0,2,0
1,2,False,False,True,1,2,1
0,2,True,False,True,1,2,1
0,3,False,False,True,0,2,1
1,1,False,False,True,2,2,0
0,3,True,False,False,1,0,0
0,2,True,False,True,1,2,0
0,2,True,False,True,1,2,0
0,3,True,False,True,1,2,0
0,3,False,False,True,1,2,2
1,1,True,False,False,2,2,0
0,1,True,False,True,2,2,1
1,1,False,False,False,2,2,2
0,3,True,False,True,1,2,1
1,3,True,False,True,0,2,0
0,1,True,False,True,2,3,1
0,3,True,False,True,1,1,1
1,2,False,False,True,1,2,0
0,1,True,False,True,2,1,1
0,3,True,True,False,0,2,0
1,2,False,False,True,1,0,1
1,3,True,False,True,1,0,1
0,3,True,False,True,0,2,0
0,3,True,False,True,0,2,0
1,2,False,False,True,2,2,1
1,2,True,False,True,1,0,1
0,3,True,False,True,0,2,0
0,2,True,False,True,1,1,0
0,3,True,False,True,0,2,0
1,1,False,False,True,2,2,0
0,3,True,False,True,0,2,0
1,3,True,False,False,0,2,0
1,1,False,False,True,2,2,1
0,3,True,False,True,0,1,0
1,1,False,False,True,2,2,1
0,3,False,True,False,0,2,0
0,3,True,False,True,0,2,0
0,3,True,False,True,0,2,0
0,3,True,False,True,0,2,0
0,2,False,False,True,1,2,0
1,2,False,False,True,1,2,2
0,3,True,False,True,0,1,0
1,3,False,False,True,1,0,0
1,1,False,False,True,2,2,1
1,3,False,False,False,0,1,0
1,1,False,False,True,2,1,1
0,1,True,False,True,1,2,0
0,3,True,False,True,0,2,0
0,3,True,False,True,0,2,0
1,3,False,False,True,0,1,0
0,3,True,True,False,1,0,2
1,3,True,False,True,1,0,1
0,1,True,False,False,2,2,0
0,2,True,False,True,1,1,0
0,3,True,False,True,0,2,0
0,2,True,False,True,1,2,0
1,1,False,False,True,1,2,0
1,3,False,False,True,0,2,0
0,3,True,False,False,0,2,0
0,3,False,False,True,1,2,1
0,2,True,False,True,1,2,0
1,2,False,False,True,1,2,1
1,1,True,False,True,2,0,1
1,3,True,False,False,0,0,1
1,3,True,False,True,0,2,0
0,3,True,False,True,0,2,0
0,1,True,False,True,0,2,0
0,3,False,False,True,0,1,0
0,2,True,False,True,1,2,0
1,1,False,False,True,2,2,1
0,3,True,False,True,0,2,0
0,3,True,False,True,1,2,0
0,2,True,False,True,1,2,0
0,3,False,False,True,1,0,2
0,3,True,False,True,0,2,0
0,3,False,False,True,0,2,0
0,2,True,False,False,1,2,1
0,3,True,False,True,0,2,0
0,3,True,False,True,1,0,2
1,1,False,False,True,2,2,1
1,3,True,False,True,0,2,0
0,1,True,False,True,0,2,0
1,3,False,False,True,1,2,1
0,3,True,False,True,1,0,2
1,2,True,False,False,1,0,1
1,3,False,False,False,1,1,1
1,2,True,False,True,1,0,1
0,3,True,False,True,0,2,0
0,3,True,False,True,0,1,0
1,1,False,False,False,2,2,1
0,3,True,False,True,0,2,0
1,3,True,False,True,2,2,0
0,3,True,False,True,0,2,0
0,2,True,False,True,1,1,0
1,1,False,False,False,1,2,0
0,3,True,False,False,0,2,0
0,3,True,False,True,0,1,0
0,3,True,False,True,0,2,0
0,3,True,False,False,0,2,0
0,2,True,False,True,1,2,1
0,3,True,False,True,1,0,2
0,3,True,False,True,0,3,0
0,3,False,False,False,1,0,1
1,1,False,False,True,1,1,1
0,2,False,False,True,1,2,1
1,3,False,False,True,0,1,1
1,1,False,False,True,2,2,1
1,1,True,False,True,1,2,0
1,3,False,False,False,1,2,1
0,3,True,False,True,1,2,1
0,2,True,False,True,1,2,1
1,1,False,False,True,1,2,0
0,2,True,False,True,1,2,0
1,2,False,False,True,1,2,0
1,2,False,False,False,1,2,1
0,1,True,False,True,2,2,0
1,3,True,False,True,1,0,1
0,3,True,False,True,0,2,0
1,1,False,False,True,2,2,1
0,1,True,False,True,0,2,0
0,3,True,False,True,0,2,0
1,2,False,False,False,1,2,1
1,3,False,False,False,0,1,0
0,3,True,False,True,0,2,0
0,3,True,False,True,0,1,0
1,1,False,False,False,2,2,1
1,2,False,False,True,1,2,1
0,3,True,False,True,0,2,0
0,3,False,False,True,1,2,0
0,2,True,False,True,1,2,0
0,3,True,False,True,0,2,0
0,3,False,True,False,1,2,2
0,2,True,False,True,1,2,0
1,1,False,False,True,1,1,0
1,1,True,False,False,1,2,0
0,3,True,True,False,0,2,0
